School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2013-14,K018,14K018,P.S. 018 Edward Bush,K018,101 MAUJER STREET,K,14,197,,1,P.S. 018 Edward Bush,1,2,1,3,0,2C,1-250,0.43,1.03,1.23,0.99,0.41,BROOKLYN ,11206,40.710609,-73.946977,1,34,503,3069559,3027870001,East Williamsburg                                                          
2013-14,K019,14K019,P.S. 019 Roberto Clemente,K019,325 SOUTH  3 STREET,K,14,113,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.709647,-73.95465,1,34,527,3063188,3024230001,North Side-South Side                                                      
2014-15,K932,07X695,PASSAGES ACADEMY AT BELMONT(BN),X695,560 BROOK AVENUE,K,7,395,,1,PASSAGES ACADEMY AT BELMONT(BN),0,1,1,0,1,3C,251-500,0.27,1.11,1.38,0.8,0.48,,,,,,,,,,
2013-14,K019,14K414,Brooklyn Arbor Elementary School,K414,325 SOUTH  3 STREET,K,14,334,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.709647,-73.95465,1,34,527,3063188,3024230001,North Side-South Side                                                      
2013-14,K019,,325 SOUTH  3 STREET CONSOLIDATED LOCATION,,325 SOUTH  3 STREET,K,14,447,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,0,1,1,1,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11211,40.709647,-73.95465,1,34,527,3063188,3024230001,North Side-South Side                                                      
2013-14,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13,321,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11205,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
2013-14,K020,13K492,Academy of Arts and Letters,K492,225 ADELPHI STREET,K,13,490,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11205,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
2013-14,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,K,13,811,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11205,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
2013-14,K021,16K021,P.S. 021 Crispus Attucks,K021,180 CHAUNCEY STREET,K,16,648,,1,P.S. 021 Crispus Attucks,0,1,1,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11233,40.680727,-73.926597,3,36,381,3047914,3016920017,Crown Heights North                                                        
2013-14,K022,17K022,P.S. 022,K022,443 ST MARKS AVENUE,K,17,24,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11238,40.676774,-73.960058,8,35,305,3028281,3011480050,Crown Heights North                                                        
2013-14,K022,84K333      ,Explore Exceed Charter School,K333,443 ST MARKS AVENUE,K,17,,,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11238,40.676774,-73.960058,8,35,305,3028281,3011480050,Crown Heights North                                                        
2013-14,K022,17K705,Brooklyn Arts and Science Elementary School,K705,443 ST MARKS AVENUE,K,17,268,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11238,40.676774,-73.960058,8,35,305,3028281,3011480050,Crown Heights North                                                        
2013-14,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,443 ST MARKS AVENUE,K,17,292,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,0,2,2,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11238,40.676774,-73.960058,8,35,305,3028281,3011480050,Crown Heights North                                                        
2013-14,K023,14K023,P.S. 023 Carter G. Woodson,K023,545 WILLOUGHBY AVENUE,K,14,276,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11206,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford                                                                    
2013-14,K023,84K701      ,Brooklyn Charter School,K701,545 WILLOUGHBY AVENUE,K,14,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11206,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford                                                                    
2013-14,K102,20K102,P.S. 102 The Bayview,K102,211 72 STREET,K,20,"1,352",,1,P.S. 102 The Bayview,0,1,1,1,0,7C,1251-1500,0.86,3.26,5.55,2.17,1.29,BROOKLYN ,11209,40.63402,-74.029036,10,43,68,3146491,3058900001,Bay Ridge                                                                  
2013-14,K023,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,545 WILLOUGHBY AVENUE,K,14,276,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,1,0,0,1,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11206,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford                                                                    
2013-14,K024,15K024,P.S. 024,K024,427 38 STREET,K,15,699,,1,P.S. 024,0,0,1,0,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11232,40.652701,-74.004743,7,38,84,3346119,3007010001,Sunset Park West                                                           
2013-14,Q239,24Q239,P.S. 239,Q239,17-15 WEIRFIELD STREET,Q,24,696,,1,P.S. 239,0,0,0,0,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,QUEENS   ,11385,40.699149,-73.903799,5,34,553,4435561,4035610001,Ridgewood                                                                  
2013-14,K025,16K534,Upper School @ P.S. 25,K534,787 LAFAYETTE AVENUE,K,16,151,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11221,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         
2013-14,K025,16K025,P.S. 025 Eubie Blake School,K025,787 LAFAYETTE AVENUE,K,16,235,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11221,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         
2013-14,K025,,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,787 LAFAYETTE AVENUE,K,16,386,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0,3,0,0,2,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11221,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         
2013-14,K026,16K026,P.S. 026 Jesse Owens,K026,1014 LAFAYETTE AVENUE,K,16,254,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11221,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
2013-14,K026,16K681,Madiba Prep Middle School,K681,1014 LAFAYETTE AVENUE,K,16,165,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11221,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
2013-14,K026,16K393,Frederick Douglass Academy IV Secondary School,K393,1014 LAFAYETTE AVENUE,K,16,155,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11221,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
2013-14,K026,,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,1014 LAFAYETTE AVENUE,K,16,574,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,1,0,6,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11221,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
2013-14,K027,84K730      ,Summit Academy Charter School,K730,27 HUNTINGTON STREET,K,15,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11231,40.677564,-74.005166,6,38,59,3008342,3005250001,Carroll Gardens-Columbia Street-Red Hook                                   
2013-14,K027,15K676,Red Hook Neighborhood School,K676,27 HUNTINGTON STREET,K,15,223,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11231,40.677564,-74.005166,6,38,59,3008342,3005250001,Carroll Gardens-Columbia Street-Red Hook                                   
2013-14,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,27 HUNTINGTON STREET,K,15,223,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,0,1,0,1,0,2C,1-250,0.43,1.03,1.23,0.99,0.41,BROOKLYN ,11231,40.677564,-74.005166,6,38,59,3008342,3005250001,Carroll Gardens-Columbia Street-Red Hook                                   
2013-14,K028,16K028,P.S. 028 The Warren Prep Academy,K028,1001 HERKIMER STREET,K,16,240,,1,P.S. 028 The Warren Prep Academy,0,0,0,0,0,2C,1-250,0.43,1.03,1.23,0.99,0.41,BROOKLYN ,11233,40.678049,-73.92032,3,41,301,3042090,3015480019,Ocean Hill                                                                 
2013-14,K029,15K029,P.S. 029 John M. Harrigan,K029,425 HENRY STREET,K,15,803,,1,P.S. 029 John M. Harrigan,0,0,1,0,0,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11201,40.686951,-73.99806,6,39,45,3255627,3003110001,Carroll Gardens-Columbia Street-Red Hook                                   
